question,chunk
What is the total number of video lectures for week 3?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
How many video lectures have been uploaded for week 3?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
Can you tell me the count of video lectures for week 3?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
How many exercises are required to be completed on peergrade.io for week 4?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
How many assignments do I need to complete on peergrade.io for week 4?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
What is the total number of exercises that need to be finished on peergrade.io for week 4?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
How many tasks are mandatory to finish on peergrade.io for week 4?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
What is the minimum number of exercises that must be completed on peergrade.io for week 4?,"with EXE on peergrade.io. It should contain your added code in the exercises and the answer of one exercise from Michael Nielsen's book (see point 3. above). The answer to the book exercise should be in a markdown cell at the bottom of the notebook. 5. Peergrade exercise from three other students through peergrade.io.   Week 4 - Convolutional neural networks 1. Watch week 2 video lectures   1. Part 1 Introduction to CNNs (PART 1/2) 2. Part 1 Introduction to CNNs (PART 2/2) 3. Part 2 CNNs the details (PART 1/2) 4. Part 2 CNNs the details (PART 2/2) 5. 2017 CNN update 6. 2017 Activation functions update 7. 2017 Image segmentation and take notes for at least 3 questions to ask. Link to lecture slides is here and here for 2017 updates. 2. Reading material Michael Nielsen, Neural networks and deep learning http://neuralnetworksanddeeplearning.com/ Chapter 6 (stop when reaching section called Other approaches to deep neural nets). 3. Alternative textbook chapter in the deep learning book. 4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5."
What exercise is recommended from the book chapters for week 4?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
"According to the book chapters for week 4, which exercise is recommended?","4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
What is the recommended exercise from the book chapters for week 4?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
"In week 4 of the book, which exercise is suggested for practice?","4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
"From the book chapters for week 4, what exercise is advised?","4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
Where are students instructed to hand in their notebook marked with EXE?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
Where are students required to submit their notebook with the EXE marking?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
In what location are students directed to turn in their notebook labeled with EXE?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
Where do students need to hand in their notebook that has been designated with the EXE marking?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
At what place are students instructed to deliver their notebook marked with EXE?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
What reading material is recommended for understanding Transformers and recurrent neural networks?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
What are some recommended reading materials for gaining a better understanding of Transformers and recurrent neural networks?,"4. One exercise from the book chapters. 5. Carry out computer exercises week 4. 6. Hand in the notebook marked with EXE on peergrade.io. 7. Peergrade exercise from three other students through peergrade.io. You will receive instructions about this from peergrade.io. Week 5 - Transformers and recurrent neural networks 1. Watch week 3 video lectures 1. 02456week3 1 RNN (PART 1 of 3) 2. 02456week3 1 RNN (PART 2 of 3) 3. 02456week3 1 RNN (PART 3 of 3) 4. 02456week3.2_RNN_training (PART 1 of 3) 5. 02456week3.2_RNN_training (PART 2 of 3) 6. 02456week3 2 RNN training (PART 3 of 3) 7. 02456week3 3 Attention (PART 1 of 2) 8. 02456week3 3 Attention (PART 2 of 2) 9. 02456week3 4 Supervised learning recap 10. 2017 Quasi RNN 11. 2017 Non-recurrent sequence to sequence models 12. 2017 Text summarization 13. 2020 Transformers (PART 1 of 2) 14. 2020 Transformers (PART 2 of 2) 15. 2020 Language modelling - GPT-2 and 3 16. 2020 BERT and take notes for at least 3 questions to ask. Link to: 2016 lectures, 2017 lecture updates and 2020 lecture updates. 2. Reading material Alex Graves book, Supervised Sequence Labelling with Recurrent Neural Networks Chapters 3.1, 3.2 and 4. Browse Michael Nielsen, Neural networks and deep learning Chapter 6 section Other approaches to deep neural nets) and onwards. A good introduction to Transformers is The Illustrated Transformer. New tutorial on Transformers https://aman.ai/primers/ai/transformers/#one-hot-encoding 3. Alternative textbook chapter in the deep"
